seqid	P28660_2001	P28660_2002	P28660_2003	P28660_2004	P28660_2005	P28660_2006	P28660_2007	P28660_2008	P28660_2009	P28660_2010	P28660_2011	P28660_2012	P28660_2013	P28660_2014	P28660_2015	P28660_2016	P28660_2017	P28660_2018	P28660_2019	P28660_2020	P28660_2021	P28660_2022	P28660_2023	P28660_2024	P28660_2028	P28660_2029	P28660_2030	P28660_2031	P28660_2032	P28660_2033	P28660_2034	P28660_2035	P28660_2036	P28660_2037	P28660_2038	P28660_2039	P28660_2040	P28660_2041	P28660_2042	P28660_2043	P28660_2044	P28660_2045	P28660_2046	P28660_2047	P28660_2048	P28660_2049	P28660_2050	P28660_2051	P28660_2052	P28660_2053	P28660_2054	P28660_2055	P28660_2056	P28660_2057	P28660_2058	P28660_2059	P28660_2060	P28660_2061	P28660_2062	P28660_2063	P28660_2064	P28660_2065	P28660_2066	P28660_2067	P28660_2068	P28660_2069	P28660_2070	P28660_2071	P28660_2075	P28660_2076	P28660_2077	P28660_2078	P28660_2079	P28660_2080	P28660_2081	P28660_2082	P28660_2083	P28660_2084	P28660_2085	P28660_2086	P28660_2087	P28660_2088	P28660_2089	P28660_2090	P28660_2091	P28660_2092	P28660_2093	P28660_2094
9c903f905d04d76e20ff7325fffe72f4	183	1199	216	126	2002	0	639	0	85	6634	405	4700	3007	4289	3491	487	4702	998	282	0	259	0	5	0	0	0	0	48	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51332903154aba932ff1ffeccb37bc59	0	134	0	0	520	48	0	0	0	66	395	0	3344	0	0	0	0	0	764	9164	17967	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109ca4a0a155aa294da7f98172ebdb86	440	1599	1718	1252	5201	3142	84	0	0	3528	2742	8641	63	116	0	1218	560	2069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1eae12c5939896ca246cf8463b80bd13	440	398	52	359	419	163	3551	280	13988	451	286	3604	390	1126	134	118	59	139	3179	1363	533	0	0	0	209	130	0	0	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9fa1342d59ed83975b9958e625d52875	542	295	133	0	1817	0	7040	0	0	134	91	322	709	252	121	337	264	0	4991	5260	7270	0	0	0	0	0	0	46	2590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1109f2dce62933dbd5cded18063e828d	127	137	42	6	481	0	2857	0	0	163	1027	163	1371	248	186	121	509	33	442	4498	9563	0	0	5	4	0	0	873	8518	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5497318e515a8c328a68f95975d9c7d4	106	4	0	0	0	0	0	0	0	3	87	0	510	9	6	8	0	0	23	2005	1547	5122	369	639	0	162	12	0	0	1049	1174	3723	5350	968	0	0	164	63	571	759	0	1274	409	0	0	0	0	0	0	18	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f03f91d4a904fd2eff47b30f1c570be3	217	82	33	17	151	69	1420	18	0	310	699	353	920	407	399	71	178	116	1217	1197	0	0	0	0	0	0	0	13657	9167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67fe68b10effbc7af1e15eb1d66f58af	2842	1337	5750	2065	539	4487	27	230	14	256	2368	294	560	855	1253	1443	1574	3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7bac8207d7d21b53c5a7071681dcb88e	2805	1546	1804	745	1580	2461	0	0	13	673	4330	645	119	3898	437	1273	3423	3183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
369906d432efb2e771efcab20af116bc	55	0	0	0	3	0	0	0	0	0	52	0	1076	0	0	0	0	0	0	179	144	345	227	508	0	244	0	0	0	1281	499	379	886	779	0	0	3	217	188	20170	0	65	398	0	0	0	0	87	0	0	10	0	0	7	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
