pathway	description	P37057_1001	P37057_1002	P37057_1003	P37057_1004	P37057_1067	P37057_1068	P37057_1013	P37057_1014	P37057_1015	P37057_1016	P37057_1021	P37057_1022	P37057_1023	P37057_1025	P37057_1026	P37057_1037	P37057_1039	P37057_1050	P37057_1052	P37057_1055	P37057_1057	P37057_1061	P37057_1062	P37057_1065	P37057_1066	P37057_1084	P37057_1018	P37057_1019	P37057_1030	P37057_1031	P37057_1032	P37057_1033	P37057_1034	P37057_1035	P37057_1036	P37057_1038	P37057_1047	P37057_1048	P37057_1049	P37057_1051	P37057_1054	P37057_1056	P37057_1059	P37057_1060	P37057_1063	P37057_1064	P37057_1083
P562-PWY	myo-inositol degradation I	111.76505139500736	0.0	176.38738381739486	0.0	3.6000000000000005	21.2093023255814	64.75900822111223	95.56098291619487	106.8982362781306	54.82331087228437	4878.361768904758	738.1203499023754	7530.349340786376	7744.984913714823	7634.207672047925	143.14365764431528	48.61736334405145	5.333333333333333	37.22528363047002	59.3990224696219	64.21859828831685	2168.9224879256126	1191.7813901451837	1865.6240626437532	1325.3586507192815	1884.4092357137351	3746.622682341781	9335.460059892825	1520.0124849382605	3061.9219833529028	1451.50072479246	1438.512100526162	2182.9086304994694	2098.1692996951697	142.0785273489121	224.6627225672027	189.74486794443357	1.5000000000000002	36.3109427944987	89.3284895906106	36.22859589041096	98.96601441812562	573.8998341718611	1170.7844644787272	346.975282868303	438.65295498671486	853.44686443267
P621-PWY	nylon-6 oligomer degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1161.6948528316027	90.90909090909092	1844.3753538019423	324.4257859883795	496.6073957513769	0.0	0.0	0.0	0.0	0.0	0.0	118.96147403685092	197.11529026982828	80.76541207008435	74.4812030075188	206.60301507537685	0.0	111.65750240079178	425.0773660971396	741.1557979422914	544.6060974374557	475.5220426157237	514.6501025757922	779.8038981142697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.60922330097088	168.04899497487438	102.69913043478262	251.03959131545335	323.5920281359906
PANTO-PWY	phosphopantothenate biosynthesis I	35204.108555029554	11294.399039233282	36368.514281607386	102.86907449209932	42751.15421109408	31119.469634099416	22263.90746461173	22647.45845809204	27334.933382530155	18736.86725811052	67137.54870512408	11396.457207708489	61766.88700865005	51497.5657600903	59429.55579337596	34995.929571317545	30807.29043011644	18210.244147659952	36201.85333392256	32854.79582818858	50956.36045996932	63447.75646959458	49001.14051772065	48418.79235950777	41087.80450205273	81112.86227893076	7930.261524861955	19413.59310312024	35851.11483944341	53891.88373420899	32934.08173039908	37412.502516548375	41806.04982916576	38243.4520252995	26243.62779163641	31603.12638561382	25623.99543814933	119.5	18319.388892210893	36951.27836599341	35145.271937212005	35175.41604229733	42957.03811622479	45723.19222741417	36981.80608545295	46599.82571828336	57127.96873890706
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	34413.61075564761	11090.83291263758	35951.754314435006	93.96018875001602	42068.862268184566	30475.76112375261	22103.133016308664	21715.36254759164	27034.591428962296	18605.615898159245	66743.18476220981	11272.063774304448	58741.63767161416	51854.5023466416	58886.90269887912	34358.564926871935	30433.006850560683	17713.186668757608	33661.04870786946	31874.170449278783	50350.65409383701	62652.00551555515	47996.24058428479	52652.91408796272	42051.07581505751	81396.49343593439	7250.42630386007	18094.095434700503	33706.74004762635	50878.20497127028	30368.85832036828	36137.06784716278	40712.36406920277	37283.160211860406	24394.802405981263	29056.422331834263	24660.08485656293	115.3921875	17562.282374230967	35673.92140662186	33354.34364609788	33852.7174149145	40820.95623404575	43368.2079607518	35806.67435523186	45173.13733275617	54687.05283471948
PENTOSE-P-PWY	pentose phosphate pathway	9620.895731183498	2621.8814515957506	9832.061544616032	69.37649291833473	11356.47474637698	9463.529892462111	14494.898171940147	6866.69837762794	10553.45516329514	12870.644172923405	67966.50999334456	9421.05343121278	57998.66794182157	50567.94097580201	60139.84730905476	19650.118910768884	19422.758919861837	11656.773292982429	15179.899335772923	16100.71045041649	17678.283063080584	38251.70929833263	31791.580851725816	45083.15878591821	33963.34343278972	51488.08191562636	8015.527472800135	21664.54621183889	27383.7592738628	34487.263067674874	29463.21749143684	31250.07929586244	39245.67134256774	35968.38769237749	10955.575411300622	14056.713943910689	9748.492235031368	14.426496738809622	6964.338337771679	15710.465237445478	12343.997177940702	13098.646772887796	31747.100054285733	35396.66883293213	22663.5818933644	28187.444377782005	35224.30545210549
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	28387.54976537368	8491.584718907801	27490.56887717777	114.59304838089577	33246.15677955416	24811.23530411094	21577.06918412377	22291.954727475106	26613.67073159315	18150.56628502339	75700.20544976635	12403.232071516306	65452.58116929377	56813.21257977798	64783.82424956496	32451.2491406616	28829.05400891281	17097.18317208621	33376.54121556243	29531.29778336759	46160.42261905551	68475.461692217	54200.32519073194	60933.55804606356	48212.27125789472	91090.65578565247	6876.5298799817	17517.129398284702	37953.136913925584	52587.243757280914	34945.69147928418	39800.88000255402	45439.19705681323	41210.47183794405	26926.190138180827	33895.40835359419	26677.426548289543	115.50577058972802	16914.465008188054	34847.87643389048	31344.189704811783	31742.586851411248	48242.61830335667	50864.29122107723	39337.45294488201	49650.944874718974	60765.98724337747
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	40935.10927433004	13161.10712030952	42080.56568401158	125.35100654119115	49698.65908679315	36872.19319792618	26028.125671816368	25304.39377939288	32182.75065785417	21754.870427124733	95206.06508107604	14641.85920222916	78317.2897080033	68375.59900454427	76447.53190662882	41175.306230317896	36940.166416428525	21786.62937344022	42725.90302628392	38810.889545849815	62002.48380243056	82486.85676612286	64891.264086394265	69315.04203587126	56942.97233597933	110469.54902743784	11974.637735616565	28764.101514599384	41623.056704037714	60399.727638650336	36539.33431931536	44306.11332733286	51086.21834008552	46520.93252944772	31552.90159559665	39137.79200690636	32988.74863561608	140.70331684532897	21489.02113565578	44599.03637083979	40852.60251573632	41297.89770799607	54425.00107479492	57872.963953589584	47685.05028514204	60285.23085250128	74161.96482683603
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	1997.680310704432	525.7377074325344	2364.145243236005	0.0	2437.1637762653163	2647.112882553964	1748.9272751448505	1871.9452889753147	1552.478102263224	819.9104074728843	21031.586145674657	3444.44954986942	20560.55710196221	15858.208444352622	17322.01962643711	2352.7635238347875	2696.3215279296573	1896.1239471106076	6357.090357379226	2810.338489043239	4077.729329282764	9470.391759275775	9009.158112048175	12590.726425845472	8999.866605034336	13789.500620166838	1607.1709564536625	4364.480174466726	8328.816820546639	13840.532958005817	6754.040060962454	7374.265365044968	8979.559575491625	10270.709910518875	3321.1151332209265	2081.911706022104	3319.112730248141	4.006985669081304	2084.827109626623	5047.719790916927	5094.584692670337	4442.671237341632	9223.53416071584	9284.514283052073	7503.921967738294	9703.225053225304	12386.496121642578
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	2083.017938835227	552.5116604031261	2603.220402803612	33.04045685401051	2555.9266975860664	2710.8333904147107	1993.3520915756	1998.7801819296465	1646.9627210895624	838.3098700570897	21913.180540241658	3585.2491719626296	21265.27871767494	16777.47342464905	20401.6926411324	2342.10679343152	2854.949697550126	1947.6424641096853	7694.888655806239	2936.203027649384	4391.291825898272	9908.749860093743	9041.602427873027	14918.537778249494	9374.288090419708	14196.08433486888	1543.2576876067317	4237.432604673017	8128.709861816594	13133.193950741796	7093.701765300274	12021.468959841615	9351.360753239976	10843.127276781228	3673.437826355695	2245.849054801573	3367.0911225750942	18.28640710033996	2713.954176635842	5639.908298654604	5971.791322452616	5223.278329854414	9255.985504763989	9317.742530324653	7718.742618354961	10155.907631389213	13231.415683724355
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	31745.219228743183	9468.103772019667	32790.523690485024	104.30238014280856	38024.65151067377	27647.61214809177	22445.79056298678	22033.79637864885	27181.18903187137	18452.91603182408	73012.54720231383	12128.30476441817	64296.23163329128	49942.28257005168	57241.49998832292	34235.88366457765	30225.316743930955	17860.04108626728	35077.52561739134	31572.57348424928	49935.88135140303	68303.62551656897	53313.26615963315	59325.48901991623	47849.48955850796	92204.54696802815	7034.37004373992	17520.5446916139	32600.331414004228	40685.07414746786	31460.55842640099	30866.263374304097	37441.61689857182	34142.00288412325	26298.057576813848	31705.523340536613	25972.44760720954	119.5	17882.92932580408	37195.09479872334	33487.897330262684	33832.48934572904	45296.020919062445	47578.447216100816	38324.12606004726	48197.00008418866	59023.63709560764
PPGPPMET-PWY	ppGpp biosynthesis	402.1992117678007	51.98478880348739	932.0859883196908	0.0	211.42571212446703	2450.4285563148514	3405.782021236149	946.217931455211	1305.4421949525104	7652.483717179083	25372.999183070944	3191.501930405513	23773.8160344436	17657.61578616615	30256.33247333795	7420.68523470924	3537.097651609528	7987.001317848406	3471.5528788111924	9484.543313416272	5796.311342775189	4946.40029948194	5757.70627863804	9836.021891555582	5358.991096336931	8806.759660256354	4883.749809500262	13726.245523569469	2639.54261125174	5922.579198536776	1595.2228118394794	1344.6023454369613	5332.4369744594005	2597.01978085411	2102.986838764069	3701.0793778539496	3707.35963504965	7.192193634718365	864.2373559364169	3479.75489433033	1031.6834422513086	1867.819285332984	1873.2329238219384	3015.9208785321985	1339.597956685015	2150.322702342856	2534.429260000481
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	115.28790834332491	21.30109863935451	241.3073230635351	0.0	79.55389715761905	1419.5972580808143	110.24467333069563	239.87732420455345	283.3340844290771	84.22476414480712	26755.249103680933	3054.088354067368	25347.56111146614	16272.630860699952	18849.760137688867	186.97971217116404	83.78666811740267	89.77189349356446	498.0414138788568	146.8080750670991	568.6096367731215	6258.593782796049	5492.451433769934	9258.058001734722	5998.155678572454	6370.644499913934	9689.001909595088	22767.36919919816	5143.111106079296	9126.74452498452	4659.520815848576	6392.217156638226	6276.767167363332	8068.636685657336	246.8815501335209	509.8517100254162	1243.346631857809	2.333333333333333	62.26603411493088	130.40087435444067	784.7566370012804	332.60598145721866	3504.893513811939	4103.458918095814	4258.778818034329	6285.8011013523455	8448.204242955318
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	5159.843204578297	831.1263382632884	4580.018919422695	37.34808479922078	6068.025959424119	8699.349148339104	5927.679363325582	7408.045947361467	17651.02951857762	4970.48822415476	53640.75085749247	8134.824692753089	41990.89842235282	35498.37795326838	46002.700846683285	6721.2172634362105	5039.137112348488	2712.2829944391674	5585.533406011471	3906.2306343085615	12243.31202417284	35939.68062778525	32377.68346674848	25085.961339422814	22963.375341658204	48434.52234717162	4299.496742859253	12733.123379862993	26554.9159580624	39656.69266499304	22747.117235469745	27222.08481348258	37584.23998828158	30132.020982359645	15457.332668758028	18185.816729445472	12110.583864287844	19.552264720588795	3309.1244872740376	10029.75668807682	6233.885829007307	8006.723448233481	31125.25937992064	33168.82750238089	24717.80108194272	31415.749859536118	39460.10068013953
