seqid	P25307_1001_S1	P25307_1002_S2	P25307_1003_S3	P25307_1004_S4	P25307_1005_S5	P25307_1006_S6	P25307_1007_S7	P25307_1008_S8	P25307_1009_S9	P25307_1010_S10	P25307_1013_S13	P25307_1014_S14	P25307_1015_S15	P25307_1016_S16	P25307_1017_S17	P25307_1018_S18	P25307_1021_S21	P25307_1064_S64	P25307_1065_S65	P30414_1055_S55	P30414_1056_S56	P30414_1057_S57	P30414_1058_S58	P30414_1059_S59	P30414_1060_S60	P30414_1061_S61	P30414_1062_S62	P30414_1063_S63	P30414_1064_S64	P30414_1065_S65	P30414_1066_S66	P30414_1067_S67	P30414_1068_S68	P30414_1069_S69	P30414_1070_S70	P30414_1071_S71	P30414_1072_S72	P30414_1073_S73	P30414_1074_S74	P30414_1075_S75	P30414_1076_S76	P30414_1077_S77	P30414_1078_S78	P30414_1079_S79	P30414_1080_S80
aeab9fb0cdf55e9984794bd7bf776b53	0	0	0	0	0	0	0	0	0	22	0	0	8	0	11	0	1884	403	375	26	0	7	0	0	0	0	43	572	45	224	3	0	0	0	0	0	301	1683	0	27	424	238	256	300	341
8e021e17d6ccb8681a6b63b21eb70d7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	107	85	68	0	0	0	9	0	0	600	1490	403	377	13	0	0	0	0	0	463	2526	0	32	122	127	120	94	73
17028cc8da92a1ba53cc44cc1c4463bb	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	1488	420	391	48	0	0	0	0	0	0	223	914	393	377	17	0	0	0	0	0	288	1172	0	23	316	222	204	212	204
60e0ef07f02c4b9ebb995fb82c1f4772	0	0	0	0	0	0	0	0	0	31	0	0	0	0	28	0	2319	774	518	0	0	0	0	0	0	0	184	689	369	257	22	82	0	0	0	0	59	116	0	23	334	327	208	289	228
81c931f8888552fd0946fa577c05a5e1	0	0	0	0	0	0	0	0	0	16	0	0	5	0	9	0	1451	708	377	33	0	7	0	0	0	0	339	805	215	276	0	0	0	0	0	0	295	1629	0	23	72	104	106	120	88
707cdf49c60865182b1037c810362b0d	22	0	0	11	0	0	68	0	7	0	5	0	0	3837	2424	254	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a9db862e6a06d1b3312f58386d668ba1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	36	29	5	0	10	0	4	0	0	594	1820	811	736	0	0	0	0	0	0	210	1557	0	14	167	169	109	110	98
3fa15f0b27deae82303c9223db1d6b73	69	48	0	20	5206	23	43	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8feec71268a145139b3d78887bea771	0	0	90	0	0	87	0	0	343	0	0	0	0	0	0	0	186	72	53	0	0	16	0	2	0	0	966	2536	794	404	0	0	0	3	0	8	48	418	0	10	0	0	0	0	0
da6fee974d95b66601632887923bb8a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	70	57	28	0	7	0	4	0	0	307	843	534	917	4	0	0	0	0	0	396	1894	0	55	76	141	116	209	167
