seqid	P25812_1001	P25812_1002	P25812_1003	P25812_1004	P25812_1005	P25812_1006	P25812_1007	P25812_1008	P25812_1009	P25812_1010	P25812_1011	P25812_1012	P25812_1013	P25812_1014	P25812_1015	P25812_1016	P25812_1017	P25812_1018	P25812_1019	P25812_1020	P25812_1021	P25812_1022	P25812_1023	P25812_1024	P25812_1025	P25812_1026	P25812_1027	P25812_1028	P25812_1029	P25812_1030	P25812_1031	P25812_1032	P25812_1033	P25812_1034	P25812_1036	P25812_1037	P25812_1038	P25812_1039	P25812_1040	P25812_1041	P25812_1042	P25812_1043	P25812_1044	P25812_1045	P25812_1046	P25812_1047	P25812_1048	P25812_1049	P25812_1050	P25812_1051	P25812_1052	P25812_1053
f5c79ca4b2a11ff10539ad0293f93329	21	415	13	1878	0	15	12	120	339	12	1536	977	413	272	276	966	1154	2213	390	5480	13	142	0	0	0	0	90	0	15	375	625	456	1079	1014	0	123	0	688	0	0	0	0	0	95	0	0	0	0	9	0	0	0
2023e32e81bc97308f54ce38142a0caa	0	20	0	11	11448	0	406	10	0	85	0	0	81	11	0	0	0	0	0	0	10	0	0	0	0	0	0	68	11	0	0	0	12	20	0	6639	10	8	131	0	33	80	34	6	0	0	0	0	0	0	0	6
c66e1d7a5ac0a7bd8b7daf739c3c80fd	0	0	3	0	0	0	0	2748	246	0	1200	94	828	0	0	25	390	0	0	0	0	0	0	0	0	794	10	0	0	9	0	13206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1147	0	0	0	0
ff682cbb7d114608a07688052bfdbcca	596	241	659	167	35	13	0	573	394	0	2332	473	836	680	684	780	441	722	904	944	0	153	0	0	0	1537	436	0	104	1946	263	587	1379	109	0	0	51	341	0	0	170	0	0	356	41	0	0	1655	55	0	0	0
ac76055cc48c679b08e1da4773d015a1	12	0	8	4928	0	0	0	438	1963	0	269	72	233	0	0	0	813	3243	0	1934	0	79	14	16	17	1880	102	0	262	772	0	81	740	0	0	0	0	0	0	0	0	0	0	44	170	0	0	2479	0	0	0	0
952e0bb53fb8dce86b2407d5b7786d12	0	849	943	0	0	0	0	0	0	0	0	0	0	0	1116	0	0	0	0	0	0	2740	0	0	0	0	0	0	3113	2253	0	0	0	1025	0	0	2640	744	0	1209	0	0	0	0	0	0	0	640	3264	0	0	0
653a50649082135b4699edf5253ca84f	0	0	0	0	0	0	0	0	0	13	0	12847	13	0	9	11	2889	5	0	1741	0	1603	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	701	0	0	4	0	0	0	0	0	0	0	0	0
a614dfc15413195d12214a6093cbd576	0	7	0	27	0	42	0	0	0	6	0	0	0	601	0	0	0	0	267	0	0	2	11	0	0	5	0	0	3464	6	2931	5	8	41	6	4889	414	3692	641	352	1497	0	0	10	6	11	0	0	15	761	0	0
a6f4b8b091a0a5a12897686d54607c12	135	0	3501	105	6	6	52	0	14	0	41	37	0	3950	73	138	16	30	56	86	0	843	3	23	735	0	339	185	150	199	2025	0	0	510	0	38	910	2622	1376	372	224	298	171	51	8	0	0	0	0	0	0	71
b7b4047c18b8755d15906468da95cf91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	20	17	20	16	15	20	11	18556	259	0	0	35	0	0	0	0	0	0	335	13	20	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
