sample,N_to_S_Site_names,order,sample_Identity,site,replicate,zone,OX,TR,RZ,regions,pH,Temp,Zone_depth_START_cm,Zone_size_cm,LOI,Ti_AR,S_AR,Fe3_mgKg,Fe2_mgKg
P25811_1051,N06,42,LNUASS-7A-TR,7,A,TR,0,1,0,A1,4.4,4.5,125,50,4.2,1780,6350,1959.396536,1691.190166
P25811_1052,N06,43,LNUASS-7A-RZ,7,A,RZ,0,0,1,A1,7.05,6,175,30,4.5,1760,16500,661.7429838,2264.894141
P25811_1053,N06,44,LNUASS-7B-OX,7,B,OX,1,0,0,A1,3.66,3,45,80,4.1,1750,2910,16656.68663,1027.944112
P25811_1054,N06,45,LNUASS-7B-TR,7,B,TR,0,1,0,A1,5.5,4.5,125,40,5,1690,13900,134.4537815,1945.625309
P25811_1055,N06,46,LNUASS-7B-RZ,7,B,RZ,0,0,1,A1,7.52,6,165,40,4.3,1850,16700,189.9297656,2967.652587
P25811_1056,N06,47,LNUASS-7C-OX,7,C,OX,1,0,0,A1,3.42,3,45,90,4.3,1770,4350,8330.8598,692.5892945
P25811_1057,N06,48,LNUASS-7C-TR,7,C,TR,0,1,0,A1,5.1,4.5,135,40,4.5,1640,11800,3319.436172,2040.89736
P25811_1058,N06,49,LNUASS-7C-RZ,7,C,RZ,0,0,1,A1,6.96,6,175,30,4.7,1790,15300,991.2420382,2659.235669
P25811_1059,N07,50,LNUASS-8A-OX,8,A,OX,1,0,0,A1,3.88,3,85,60,3,1600,1910,11122.17465,1145.076172
P25811_1060,N07,51,LNUASS-8A-TR,8,A,TR,0,1,0,A1,4.9,4.5,145,30,2.6,1470,2660,3068.962086,2344.511892
P25811_1061,N07,52,LNUASS-8A-RZ,8,A,RZ,0,0,1,A1,7.72,6,175,30,2.7,1490,5340,195.4332436,6146.176089
P25811_1062,N07,53,LNUASS-8B-OX,8,B,OX,1,0,0,A1,3.73,3,55,100,3.2,1580,2500,10680.71152,1085.16347
P25811_1063,N07,54,LNUASS-8B-TR,8,B,TR,0,1,0,A1,4.9,4.5,155,20,3.2,1540,6100,0,4767.580453
P25811_1064,N07,55,LNUASS-8B-RZ,8,B,RZ,0,0,1,A1,7.53,6,175,30,2.8,1450,6170,379.317229,5410.261529
P25811_1065,N07,56,LNUASS-8C-OX,8,C,OX,1,0,0,A1,3.99,3,85,10,3.1,1660,1270,8753.980892,959.3949045
P25811_1066,N07,57,LNUASS-8C-TR,8,C,TR,0,1,0,A1,4.5,4.5,95,70,2.7,1450,2810,1426.010755,1824.337781
P25811_1067,N07,58,LNUASS-8C-RZ,8,C,RZ,0,0,1,A1,7.88,6,165,40,3.5,1510,6340,0,5570.920585
P25811_1068,N08,59,LNUASS-9A-OX,9,A,OX,1,0,0,A1,3.49,4,45,60,7.2,1520,6680,10924.1517,1011.976048
P25811_1069,N08,60,LNUASS-9A-TR,9,A,TR,0,1,0,A1,5.3,5.5,105,50,6.6,1570,10400,250,2670.634921
P25811_1070,N08,61,LNUASS-9A-RZ,9,A,RZ,0,0,1,A1,7.58,7,155,50,6.4,1470,11900,267.1984048,4717.846461
P25811_1071,N08,62,LNUASS-9B-OX,9,B,OX,1,0,0,A1,3.41,4,25,90,7.9,1610,5430,8262.210285,809.7085447
P25811_1072,N08,63,LNUASS-9B-TR,9,B,TR,0,1,0,A1,5.7,5.5,115,30,8.1,1500,12000,0,1835.949067
P25811_1073,N08,64,LNUASS-9B-RZ,9,B,RZ,0,0,1,A1,7.38,7,145,60,6.3,1420,12700,0,4661.354582
P25811_1074,N08,65,LNUASS-9C-OX,9,C,OX,1,0,0,A1,3.41,4,25,80,7.1,1640,3780,7374.368124,753.2956685
P25811_1075,N08,66,LNUASS-9C-TR,9,C,TR,0,1,0,A1,5.2,5.5,105,50,7.1,1590,13200,0,1941.708943
P25811_1076,N08,67,LNUASS-9C-RZ,9,C,RZ,0,0,1,A1,7.59,7,155,50,6.7,1570,13300,0,4818.797292
P25811_1077,N09,68,LNUASS-10A-OX,10,A,OX,1,0,0,A1,3.86,3,115,20,1.3,1210,742,2878.983421,925.2457063
P25811_1078,N09,69,LNUASS-10A-TR,10,A,TR,0,1,0,A1,4.8,5,135,30,1.7,1190,3240,508.4910238,1486.656963
P25811_1079,N09,70,LNUASS-10A-RZ,10,A,RZ,0,0,1,A1,7.91,7,165,40,2.4,1520,9420,0,1642.920311
P25811_1080,N09,71,LNUASS-10B-OX,10,B,OX,1,0,0,A1,4.12,3,130,20,1.1,1190,384,2186.083185,680.0709639
P25811_1081,N09,72,LNUASS-10B-TR,10,B,TR,0,1,0,A1,4.8,5,150,20,1.6,1170,3830,4180.409299,1581.561693
P25811_1082,N09,73,LNUASS-10B-RZ,10,B,RZ,0,0,1,A1,7.71,7,170,30,1.7,1270,7680,0,1563.245823
P25811_1085,N09,74,LNUASS-10C-RZ,10,C,RZ,0,0,1,A1,7.13,7,185,20,2.4,1220,6530,0,1394.070293
P25811_1086,N10,75,LNUASS-11A-OX,11,A,OX,1,0,0,A2,3.64,4,125,30,4.8,1870,2040,7528.426092,929.583084
P25811_1087,N10,76,LNUASS-11A-TR,11,A,TR,0,1,0,A2,4.9,6,155,30,7.1,1800,13800,255.5655386,1800.938405
P25811_1088,N10,77,LNUASS-11A-RZ,11,A,RZ,0,0,1,A2,6.74,8,185,20,6.2,1710,12200,991.7032699,5606.637384
P25811_1089,N10,78,LNUASS-11B-OX,11,B,OX,1,0,0,A2,3.97,4,85,10,4.3,1860,1400,6890.286513,696.8154138
P25811_1090,N10,79,LNUASS-11B-TR,11,B,TR,0,1,0,A2,4.4,6,95,100,5.7,1780,5580,3342.159459,1953.51574
P25811_1091,N10,80,LNUASS-11B-RZ,11,B,RZ,0,0,1,A2,6.7,8,195,10,5.8,1740,12200,978.6774098,4327.404933
P25811_1092,N10,81,LNUASS-11C-OX,11,C,OX,1,0,0,A2,3.94,4,95,20,5.9,1790,886,5412.798243,656.8832984
P25811_1093,N10,82,LNUASS-11C-TR,11,C,TR,0,1,0,A2,4.9,6,115,60,5.6,1800,8730,1081.716637,2915.931805
P25811_1094,N10,83,LNUASS-11C-RZ,11,C,RZ,0,0,1,A2,6.71,8,175,30,5.8,1780,13500,842.3562134,5117.711334
P25811_1095,N11,84,LNUASS-12A-OX,12,A,OX,1,0,0,A3,3.45,7,75,30,4,2490,2190,7638.542187,948.5771343
P25811_1096,N11,85,LNUASS-12A-TR,12,A,TR,0,1,0,A3,5.4,8,105,30,4.2,2380,2540,7142.001198,1406.031556
P25811_2001,N11,86,LNUASS-12A-RZ,12,A,RZ,0,0,1,A3,8.27,9,135,70,3.4,2570,1960,2083.872896,6721.785038
P25811_2002,N11,87,LNUASS-12B-OX,12,B,OX,1,0,0,A3,3.42,7,95,30,4.1,2450,7110,5781.757355,1224.048017
P25811_2003,N11,88,LNUASS-12B-TR,12,B,TR,0,1,0,A3,5.3,8,125,30,3.6,2380,4070,6782.193009,2898.117717
P25811_2004,N11,89,LNUASS-12B-RZ,12,B,RZ,0,0,1,A3,7.72,9,155,50,3.2,2650,1860,2060.0517,6848.279976
P25811_2005,N11,90,LNUASS-12C-OX,12,C,OX,1,0,0,A3,3.82,7,65,40,4.9,2280,1780,9819.810851,812.34445
P25811_2006,N11,91,LNUASS-12C-TR,12,C,TR,0,1,0,A3,4.3,8,105,30,4.6,2290,5760,9794.902429,1555.157308
P25811_2007,N11,92,LNUASS-12C-RZ,12,C,RZ,0,0,1,A3,7.79,9,135,70,3.4,2610,4150,1836.978131,6751.491054
P25811_2008,N18,93,LNUASS-13A-OX,13,A,OX,1,0,0,A4,3.64,8,35,30,26.3,305,8340,14643.03396,843.6478859
P25811_2009,N18,94,LNUASS-13A-TR,13,A,TR,0,1,0,A4,5.5,8.5,65,40,27.4,354,15000,8999.101886,2816.086219
